right_key	vertex	rem0	rem1	twin0	twin1	guess	domain_mask	matched
7580	0	2	10	9	6	5	6584	1
7581	0	2	10	9	7	5	6520	1
7582	0	2	10	9	8	12	6392	1
7583	0	2	10	9	9	5	6648	1
7585	0	2	10	9	11	5	4600	1
7586	0	2	10	9	12	5	2552	1
7605	0	2	10	11	3	5	5104	1
7606	0	2	10	11	4	5	5096	1
7607	0	2	10	11	5	8	5080	1
7608	0	2	10	11	6	5	5048	1
7609	0	2	10	11	7	5	4984	1
7610	0	2	10	11	8	9	4856	1
7611	0	2	10	11	9	5	4600	1
7613	0	2	10	11	11	6	5112	1
7614	0	2	10	11	12	5	1016	1
7619	0	2	10	12	3	11	3056	1
7620	0	2	10	12	4	9	3048	1
7621	0	2	10	12	5	11	3032	1
7622	0	2	10	12	6	5	3000	1
7623	0	2	10	12	7	5	2936	1
7624	0	2	10	12	8	6	2808	1
7625	0	2	10	12	9	5	2552	1
7627	0	2	10	12	11	5	1016	1
7628	0	2	10	12	12	5	3064	1
7689	0	2	11	3	3	6	6128	1
7690	0	2	11	3	4	7	6112	1
7691	0	2	11	3	5	7	6096	1
7692	0	2	11	3	6	8	6064	1
7693	0	2	11	3	7	5	6000	1
7694	0	2	11	3	8	5	5872	1
7695	0	2	11	3	9	5	5616	1
7696	0	2	11	3	10	5	5104	1
7698	0	2	11	3	12	8	2032	1
7703	0	2	11	4	3	7	6112	1
7704	0	2	11	4	4	7	6120	1
7705	0	2	11	4	5	6	6088	1
7706	0	2	11	4	6	8	6056	1
7707	0	2	11	4	7	8	5992	1
7708	0	2	11	4	8	7	5864	1
7709	0	2	11	4	9	7	5608	1
7710	0	2	11	4	10	6	5096	1
7712	0	2	11	4	12	8	2024	1
7717	0	2	11	5	3	10	6096	1
7718	0	2	11	5	4	10	6088	1
7719	0	2	11	5	5	7	6104	1
7720	0	2	11	5	6	10	6040	1
7721	0	2	11	5	7	10	5976	1
7722	0	2	11	5	8	10	5848	1
7723	0	2	11	5	9	10	5592	1
7724	0	2	11	5	10	7	5080	1
7726	0	2	11	5	12	9	2008	1
7731	0	2	11	6	3	7	6064	1
7732	0	2	11	6	4	5	6056	1
7733	0	2	11	6	5	7	6040	1
7734	0	2	11	6	6	5	6072	1
7735	0	2	11	6	7	5	5944	1
7736	0	2	11	6	8	10	5816	1
7737	0	2	11	6	9	5	5560	1
7738	0	2	11	6	10	5	5048	1
7740	0	2	11	6	12	5	1976	1
7745	0	2	11	7	3	10	6000	1
7746	0	2	11	7	4	5	5992	1
7747	0	2	11	7	5	12	5976	1
7748	0	2	11	7	6	5	5944	1
7749	0	2	11	7	7	5	6008	1
7750	0	2	11	7	8	5	5752	1
